,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
76,Ir,77.0,-8.887498020304514e-19,-8.921688469392384e-19,1.0635889279518721e-19,-8.921688469392384e-19,-3.3803936796057963e-19,1.4296930149377928e-18,-3.89336929737504e-19,1.401822832192339e-18,1.3835500000000005,0.7000500000000001,,0.7000500000000001,1.3220500000000002,,0.6940500000000001,0.6940500000000001,1.2975500000000002,,0.6938500000000001,0.6938500000000001,1.2778500000000002,,0.69375,0.69375,1.2451500000000002,,0.68935,0.68925
77,Pt,78.0,-8.401782155942784e-19,-8.401782155942784e-19,-8.2760914000410245e-19,-8.401782155942784e-19,-3.254202563811586e-19,1.4762580513960824e-18,-3.3424128010143363e-19,1.4488194790102658e-18,1.3373500000000005,0.6716500000000001,,0.6716500000000001,1.30075,,0.6708500000000001,0.6708500000000001,1.2753500000000002,,0.6707500000000001,0.6707500000000001,1.24615,,0.66905,0.66895,1.20965,,0.6647500000000001,0.6647500000000001
78,Au,79.0,-9.00126858214752e-19,-9.00126858214752e-19,-9.00126858214752e-19,-9.00126858214752e-19,-3.487346819639485e-19,1.489427783002721e-18,-3.4692571240830724e-19,1.4821623766657345e-18,1.3013500000000002,0.64595,,1.3013500000000002,1.26035,,0.64485,1.26035,1.2266500000000002,,0.64365,1.2266500000000002,1.1990500000000002,,0.64235,1.1990500000000002,1.1762500000000002,,0.64105,1.1762500000000002
79,Hg,80.0,-1.072248692587296e-18,-1.072248692587296e-18,-1.0580774403763198e-19,-1.0580774403763198e-19,2.7761109772096584e-19,1.7001756924344689e-18,2.862304554825408e-19,1.6980172240796353e-18,1.2024500000000002,0.61615,1.93075,1.93075,1.1841500000000005,1.81415,0.61615,1.81415,1.16705,,0.61585,1.16705,1.14285,,0.61465,1.14285,1.12345,,0.6133500000000001,1.12345
80,Tl,81.0,-1.4826286100623874e-18,-3.276323015406336e-19,-3.276323015406336e-19,-3.276323015406336e-19,1.0065615336672999e-19,8.042558296177552e-19,1.0648065821836801e-19,7.939393983179904e-19,1.11525,0.59075,1.7386500000000005,1.7386500000000005,1.10695,1.6326500000000002,0.59065,1.6326500000000002,1.0982500000000002,1.5450500000000005,0.59045,1.5450500000000005,1.0897500000000002,1.47785,0.5901500000000001,1.47785,1.0818500000000002,1.4226500000000002,0.58975,1.4226500000000002
81,Pb,82.0,-1.89108751776914e-18,-5.241248444921665e-19,-5.241248444921665e-19,-5.241248444921665e-19,-5.718708295404761e-20,1.0333805606719645e-18,-5.256260839858559e-20,1.0256974508699521e-18,1.0511500000000005,0.56775,1.53005,1.53005,1.04605,1.46395,0.56775,1.46395,1.04035,1.4081500000000002,0.56765,1.4081500000000002,1.03435,1.36335,0.56745,1.36335,1.02845,1.3276500000000002,0.56715,1.3276500000000002
82,Bi,83.0,-7.079089224875138e-19,-7.079089224875138e-19,-7.079089224875138e-19,-7.079089224875138e-19,-2.0735930589128782e-19,1.2521493988597668e-18,-2.0329698706007042e-19,1.2455689550721985e-18,0.99755,0.54695,1.38945,1.38935,0.99425,1.3421500000000002,0.54695,1.3420500000000002,0.99065,1.30435,0.54695,1.30435,0.98655,1.27465,0.5468500000000001,1.27465,0.98245,1.2516500000000002,0.5467500000000001,1.2515500000000002
83,Po,84.0,-8.835106844804352e-19,-8.835106844804352e-19,7.716755519953537e-19,-8.835106844804352e-19,-3.42565196486963e-19,1.4637760060271525e-18,-3.39797628622368e-19,1.458748167529363e-18,0.95305,0.52815,1.27645,1.27645,0.95025,1.2469500000000002,0.52815,1.2469500000000002,0.94685,1.22155,0.52815,1.22155,0.94295,1.19985,0.52805,1.19985,0.93865,1.18155,0.52795,1.18145
84,At,85.0,-1.0550477243863872e-18,-1.0550477243863872e-18,7.836149721735551e-19,-1.0550477243863872e-18,-4.783366553676774e-19,1.6682604463306008e-18,-4.7776265961607695e-19,1.664459634756979e-18,0.91275,0.51095,1.1946500000000002,1.1946500000000002,0.91055,1.1719500000000005,0.51095,1.1720500000000005,0.90785,1.1528500000000002,0.51095,1.1527500000000002,0.90475,1.1365500000000002,0.51085,1.1364500000000002,0.90125,1.12285,0.51075,1.12295
85,Rn,86.0,-1.2254584341279171e-18,-1.2254584341279171e-18,2.8555113259532163e-19,2.8555113259532163e-19,3.0308410384598666e-19,1.8711120123013054e-18,3.0983372146016644e-19,1.8691360958875584e-18,2.71305,,,2.71305,2.64785,,,2.64785,0.87265,1.0943500000000002,0.4950500000000001,1.09445,0.87105,1.08235,0.49495,1.08245,0.8692500000000001,1.0721500000000002,0.49495,1.07225
86,Fr,87.0,-3.209688489747264e-19,-3.209688489747264e-19,-3.209688489747264e-19,-3.209688489747264e-19,-4.5795639200224485e-20,6.318398676479116e-19,-4.537364190105599e-20,6.224936824794242e-19,2.94825,,,2.94825,2.65495,,,2.65495,2.45665,,,2.45665,2.35495,,,2.35495,0.83675,1.0257500000000002,0.48025,1.0257500000000002
87,Ra,88.0,-5.123664702721152e-19,-5.123664702721152e-19,-1.7400439190198402e-19,-1.7400439190198402e-19,1.757918602427823e-19,8.572512339885691e-19,1.9889901223597445e-19,8.563121341657346e-19,2.38845,,,2.38845,2.28935,,,2.28935,2.17995,,,2.17995,2.11295,,,2.11295,2.06575,,,2.06575
88,Ac,89.0,-6.105286274752897e-19,-3.398841461598912e-19,-3.398841461598912e-19,-3.398841461598912e-19,8.10072355375462e-20,8.157114405166776e-19,8.806203578565119e-20,8.029852875190271e-19,2.18585,1.56225,,1.56225,2.08565,,1.46795,1.46795,2.00085,,1.4001500000000002,1.4001500000000002,1.93345,,1.3503500000000002,1.3503500000000002,1.8816500000000005,,1.3134500000000002,1.3134500000000002
89,Th,90.0,-6.381421415347777e-19,-3.9898683952458243e-19,-3.9898683952458243e-19,-3.9898683952458243e-19,6.552109304649576e-20,8.858886991524432e-19,7.05214061411328e-20,8.792537011989694e-19,2.01345,1.3779500000000002,,1.3779500000000002,1.9560500000000005,,1.34105,1.34105,1.90125,,1.3097500000000002,1.3097500000000002,1.8512500000000005,,1.2829500000000005,1.2829500000000005,1.80765,,1.26005,0.61685
90,Pa,91.0,-6.11775120886272e-19,-3.229523436312768e-19,-3.229523436312768e-19,-3.229523436312768e-19,1.3902366919107737e-19,8.495325077857508e-19,1.4352298169126402e-19,8.037703540632195e-19,1.9962500000000003,1.3923500000000002,,1.3924500000000002,1.94565,,1.3474500000000005,1.3473500000000005,1.8954500000000003,,1.30815,0.58795,1.84645,,1.27435,0.59075,1.77205,,1.2211500000000002,0.58595
91,U,92.0,-5.844195572627327e-19,-2.503288817636544e-19,-2.503288817636544e-19,-2.503288817636544e-19,2.1593792029342837e-19,8.649561333908504e-19,2.179408813741824e-19,8.20681328295763e-19,1.96255,1.4085500000000002,,0.56245,1.92555,,1.3593500000000005,0.56475,1.88715,,1.31665,0.56715,1.83465,,1.26655,0.56745,1.7707500000000005,,1.2168500000000002,0.56405
92,Np,93.0,-5.556636912726144e-19,-1.77945746389152e-19,-1.77945746389152e-19,-1.77945746389152e-19,2.9149362167577773e-19,8.915720201296138e-19,2.907181521974016e-19,9.609502892701822e-19,1.9438500000000003,1.4359500000000005,,0.54335,1.91135,,1.38145,0.54535,1.87645,,1.33235,0.54755,1.80155,,1.2413500000000002,0.5437500000000001,1.76035,,1.2092500000000002,0.54405
93,Pu,94.0,-5.651726095170624e-19,-2.7456020097663364e-19,-2.7456020097663364e-19,-2.7456020097663364e-19,2.9910851086232645e-19,9.733383669489493e-19,3.0692256654017283e-19,1.026264621393715e-18,2.05185,,,0.52245,1.96095,,,0.52305,1.8633500000000005,,,0.52445,1.7815500000000002,,,0.52595,1.7524500000000005,,,0.52645
94,Am,95.0,-3.632342682314304e-19,-3.632342682314304e-19,-3.632342682314304e-19,-3.632342682314304e-19,3.50063767628166e-19,9.960000658325597e-19,3.9397523105472e-19,1.028767221275405e-18,1.94925,,,0.50675,1.91285,,,0.50835,1.83065,,,0.50595,1.7614500000000002,,,0.50455,1.7287500000000002,,,0.50615
95,Cm,96.0,-3.115800939768384e-19,-3.115800939768384e-19,-5.519017805669759e-20,-3.115800939768384e-19,4.460179651602782e-19,9.789722608300505e-19,4.954683134525376e-19,1.0188609632289984e-18,1.88445,1.54435,,0.49345,1.86085,,1.48975,0.49485,1.80215,,1.3374500000000002,0.49255,1.74815,,1.2367500000000002,0.49125,1.72185,,1.20735,0.49255
96,Bk,97.0,-5.39781314430624e-19,-5.39781314430624e-19,-8.564595344148481e-20,-5.39781314430624e-19,3.2035960532885364e-19,9.87445339880434e-19,4.279830320078208e-19,9.902893475502721e-19,2.02405,,,0.47755,1.94735,,,0.47805,1.7813500000000002,,,0.47445,1.72605,,,0.47505,1.6869500000000002,,,0.47615
97,Cf,98.0,-5.714243026914239e-19,-5.791419874738178e-19,-4.8262366348358396e-20,-5.791419874738178e-19,2.873741692532728e-19,9.750732038256122e-19,3.5178030756933123e-19,9.772540385634433e-19,2.07185,,,0.46415,1.94045,,,0.46375,1.7634500000000002,,,0.46115,1.7141500000000005,,,0.46185,1.67735,,,0.46275
98,Es,99.0,-5.6360568078192e-19,-5.672554391241024e-19,-1.2064389954624e-21,-5.672554391241024e-19,2.5506283304704563e-19,9.638591210322616e-19,2.822522509330944e-19,9.676073331296064e-19,2.06535,,,0.45145,1.9136500000000003,,,0.45055,1.75185,,,0.44885,1.6991500000000002,,,0.44945,1.65955,,,0.45015
99,Fm,100.0,-5.559889331266369e-19,-5.564775969959807e-19,4.2816568014259203e-20,-5.564775969959807e-19,2.3140733608076713e-19,9.550342520991457e-19,2.321329618812288e-19,9.608749869690048e-19,2.03465,,,0.43965,1.88495,,,0.43855,1.7402500000000003,,,0.43735,1.6840500000000005,,,0.43785,1.64115,,,0.43845
100,Md,101.0,-5.495433765811584e-19,-5.528102147109696e-19,8.078975610383999e-20,-5.528102147109696e-19,1.890379355359087e-19,9.493945903952716e-19,1.6661515332685438e-19,9.583595696743489e-19,2.10245,,,0.42735,1.86095,,,0.42725,1.72005,,,1.72005,1.66965,,,1.66965,1.6343500000000002,,,1.6343500000000002
101,No,102.0,-6.19505623081632e-19,-6.19505623081632e-19,2.69918695306176e-20,2.69918695306176e-20,3.761547011598862e-19,1.0710404912233366e-18,3.7836041770840333e-19,1.069701231760224e-18,1.8129500000000005,,,1.8129500000000005,1.7286500000000002,,,1.7286500000000002,1.6597500000000005,,,1.6597500000000005,1.60275,,,1.60275,1.56215,,,1.56215
