,chemical_symbol,atomic_weight,atomic_number,orbitals_energy,atomic_radius,atomic_radius_empirical,boiling_point,hardness_brinell,bulk_modulus,coefficient_linear_thermal_expansion,common_oxidation_states,critical_temperature,density_solid_phase,electrical_resistivity,electron_configuration,ionic_radius,liquid_range,melting_point,mendeleev_number,hardness_mineral,molar_volume,chemical_name,oxidation_states,poisson_ratio,reflectivity,refractive_index,shear_modulus,atomic_radius_shannon,superconduction_temperature,thermal_conductivity,vdw_radius,sound_velocity,hardness_vickers,electronegativity_pauling,youngs_modulus,metallic_radius,iupac_ordering,ionization_energy,electron_affinity,ICSD_oxidation_states,NMR_quadrupole_moment
77,Pt,195.084,78,"{'1s': -2613.096532, '2p': -417.96053, '2s': -434.858003, '3d': -78.400271, '3p': -93.309108, '3s': -101.274869, '4d': -11.419476, '4f': -3.038049, '4p': -17.697297, '4s': -21.110651, '5d': -0.273634, '5p': -1.884256, '5s': -2.950526, '6s': -0.16130799999999998}",1.35,1.77,4098 ,392 ,230 ,8.8 ,"[2, 4]",,21090 ,10.6 ,[Xe].4f<sup>14</sup>.5d<sup>9</sup>.6s<sup>1</sup>,"{'2': 0.9400000000000001, '4': 0.765, '5': 0.71}",2056.6 ,2041.4 ,68.0,3.5,9.09 ,Platinum,"[-2, 2, 4, 5, 6]",0.38,73 ,,61 ,"{'2': {'IVSQ': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6000000000000001}}, 'VI': {'': {'crystal_radius': 0.9400000000000001, 'ionic_radius': 0.8}}}, '4': {'VI': {'': {'crystal_radius': 0.765, 'ionic_radius': 0.625}}}, '5': {'VI': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.5700000000000001}}}}",,72 ,2.13,2680 ,549,2.28,168 ,1.387,68.0,"[8.95883, 18.56, 29.0, 43.0, 56.0, 75.0, 91.0, 109.0, 126.0, 144.9, 220.4, 245.0, 269.0, 293.0, 332.0, 358.0, 392.0, 445.0, 479.0, 507.0, 550.0, 610.0, 660.0, 710.0, 760.0, 820.0, 870.0, 930.0, 980.0, 1040.0, 1090.0, 1140.0, 1402.0, 1454.0, 1509.0, 1567.0, 1624.0, 1680.0, 1763.0, 1821.0, 1883.0, 1941.0, 2171.0, 2228.0, 2291.0, 2350.0, 2536.0, 2603.0, 2762.0, 2827.8, 4715.0, 4839.0, 4980.0, 5128.0, 5270.0, 5410.0, 5654.0, 5800.0, 5959.0, 6106.0, 6517.0, 6646.0, 6787.0, 6918.0, 7512.0, 7660.0, 7960.0, 8100.0, 17540.0, 17890.0, 18280.0, 18630.0, 20840.0, 21280.0, 21840.0, 22205.7, 88955.18, 90659.7]",2.125105,,
78,Au,196.966569,79,"{'1s': -2683.508245, '2p': -430.725701, '2s': -447.888973, '3d': -81.511751, '3p': -96.707, '3s': -104.824516, '4d': -12.131815, '4f': -3.486824, '4p': -18.578651999999998, '4s': -22.078357, '5d': -0.304738, '5p': -2.002495, '5s': -3.113936, '6s': -0.162334}",1.35,1.74,3129 ,2450 ,220 ,14.2 ,[3],,19300 ,2.2 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>1</sup>,"{'1': 1.51, '3': 0.99, '5': 0.71}",1791.67 ,1337.33 ,70.0,2.5,10.21 ,Gold,"[-1, 1, 2, 3, 5]",0.44,95 ,,27 ,"{'1': {'VI': {'': {'crystal_radius': 1.51, 'ionic_radius': 1.37}}}, '3': {'IVSQ': {'': {'crystal_radius': 0.8200000000000001, 'ionic_radius': 0.68}}, 'VI': {'': {'crystal_radius': 0.99, 'ionic_radius': 0.85}}}, '5': {'VI': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.5700000000000001}}}}",,320 ,2.14,1740 ,216,2.54,78 ,1.442,71.0,"[9.225554, 20.203, 30.0, 45.0, 60.0, 74.0, 94.0, 112.0, 130.1, 149.0, 168.2, 248.0, 275.0, 299.0, 324.0, 365.0, 392.0, 433.0, 487.0, 520.0, 550.0, 600.0, 650.0, 710.0, 760.0, 820.0, 870.0, 930.0, 990.0, 1040.0, 1100.0, 1150.0, 1210.0, 1475.0, 1527.0, 1584.0, 1644.0, 1702.0, 1758.0, 1845.0, 1904.0, 1967.0, 2026.0, 2261.0, 2320.0, 2383.0, 2443.0, 2640.0, 2708.0, 2870.0, 2941.0, 4888.0, 5013.0, 5156.0, 5307.0, 5452.0, 5594.0, 5846.0, 5994.0, 6156.0, 6305.0, 6724.0, 6854.0, 6997.0, 7130.0, 7760.0, 7910.0, 8210.0, 8360.0, 18040.0, 18400.0, 18790.0, 19150.0, 21470.0, 21920.0, 22500.0, 22868.1, 91515.82, 93254.3]",2.30861025,,
79,Hg,200.59,80,"{'1s': -2755.022637, '2p': -443.848676, '2s': -461.27864, '3d': -84.845492, '3p': -100.328031, '3s': -108.597921, '4d': -13.019221, '4f': -4.110291, '4p': -19.636187, '4s': -23.222921, '5d': -0.45255199999999995, '5p': -2.261975, '5s': -3.423486, '6s': -0.20513699999999999}",1.5,1.71,629.88 ,,25 ,,"[1, 2]",1750 ,,96 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>,"{'1': 1.33, '2': 1.16}",395.56 ,234.32 ,74.0,1.5,14.09 ,Mercury,"[1, 2, 4]",,73 ,1.000933,,"{'1': {'III': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}, 'VI': {'': {'crystal_radius': 1.33, 'ionic_radius': 1.19}}}, '2': {'II': {'': {'crystal_radius': 0.8300000000000001, 'ionic_radius': 0.6900000000000001}}, 'IV': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}, 'VI': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.02}}, 'VIII': {'': {'crystal_radius': 1.28, 'ionic_radius': 1.1400000000000001}}}}",3.95 ,8.3 ,2.23,1407 ,,2.0,,1.51,74.0,"[10.437504, 18.75688, 34.49, 48.55, 61.2, 76.6, 93.0, 113.9, 134.0, 153.0, 173.0, 192.7, 276.9, 307.0, 332.0, 357.0, 402.0, 429.0, 477.0, 530.0, 560.0, 590.0, 650.0, 710.0, 760.0, 820.0, 880.0, 930.0, 990.0, 1050.0, 1110.0, 1160.0, 1220.0, 1280.0, 1549.0, 1603.0, 1661.0, 1723.0, 1780.0, 1839.0, 1928.0, 1989.0, 2052.0, 2113.0, 2354.0, 2412.0, 2478.0, 2539.0, 2745.0, 2815.0, 2981.0, 3049.9, 5055.0, 5191.0, 5335.0, 5490.0, 5636.0, 5780.0, 6041.0, 6192.0, 6356.0, 6508.0, 6933.0, 7066.0, 7211.0, 7350.0, 8010.0, 8160.0, 8470.0, 8620.0, 18550.0, 18910.0, 19310.0, 19680.0, 22120.0, 22580.0, 23170.0, 23544.1, 94124.7, 95897.7]",-0.52,"[1, 2]",{'Hg-201': 387.6}
80,Tl,204.3833,81,"{'1s': -2827.569408, '2p': -457.255971, '2s': -474.953368, '3d': -88.328299, '3p': -104.099296, '3s': -112.52218, '4d': -14.008848, '4f': -4.835747, '4p': -20.797078, '4s': -24.471512, '5d': -0.6745439999999999, '5p': -2.59873, '5s': -3.811512, '6p': -0.101507, '6s': -0.28502}",1.9,1.56,1746 ,26.4 ,43 ,29.9 ,"[1, 3]",,11850 ,15 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>1</sup>,"{'1': 1.6400000000000001, '3': 1.025}",1169 ,577 ,78.0,1.2,17.22 ,Thallium,"[1, 3]",0.45,,,2.8 ,"{'1': {'VI': {'': {'crystal_radius': 1.6400000000000001, 'ionic_radius': 1.5}}, 'VIII': {'': {'crystal_radius': 1.73, 'ionic_radius': 1.5899999999999999}}, 'XII': {'': {'crystal_radius': 1.8399999999999999, 'ionic_radius': 1.7000000000000002}}}, '3': {'IV': {'': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}, 'VI': {'': {'crystal_radius': 1.025, 'ionic_radius': 0.885}}, 'VIII': {'': {'crystal_radius': 1.12, 'ionic_radius': 0.98}}}}",2.38 ,46 ,1.96,818 ,,1.62,8 ,1.7000000000000002,77.0,"[6.1082873, 20.4283, 29.852, 51.14, 62.6, 80.0, 97.9, 116.0, 135.0, 158.0, 177.0, 198.0, 218.3, 306.9, 340.0, 366.0, 392.0, 439.0, 467.0, 520.0, 570.0, 600.0, 640.0, 700.0, 760.0, 820.0, 880.0, 930.0, 990.0, 1060.0, 1110.0, 1170.0, 1230.0, 1290.0, 1350.0, 1625.0, 1681.0, 1740.0, 1802.0, 1862.0, 1920.0, 2014.0, 2075.0, 2140.0, 2202.0, 2447.0, 2508.0, 2574.0, 2635.0, 2854.0, 2925.0, 3094.0, 3164.7, 5234.0, 5371.0, 5518.0, 5674.0, 5824.0, 5969.0, 6241.0, 6392.0, 6560.0, 6714.0, 7146.0, 7281.0, 7430.0, 7570.0, 8260.0, 8420.0, 8730.0, 8880.0, 19070.0, 19440.0, 19840.0, 20210.0, 22780.0, 23250.0, 23850.0, 24234.1, 96783.21, 98591.6]",0.32005319,"[1, 3]",
81,Pb,207.2,82,"{'1s': -2901.078061, '2p': -470.877785, '2s': -488.843335, '3d': -91.889924, '3p': -107.950391, '3s': -116.526852, '4d': -15.030026, '4f': -5.592532, '4p': -21.990564, '4s': -25.75333, '5d': -0.902393, '5p': -2.941657, '5s': -4.206797, '6p': -0.14183099999999998, '6s': -0.357187}",1.8,1.54,2022 ,38.3 ,46 ,28.9 ,"[2, 4]",,11340 ,21 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>2</sup>,"{'2': 1.33, '4': 0.915}",1421.39 ,600.61 ,82.0,1.5,18.26 ,Lead,"[-4, 2, 4]",0.44,,,5.6 ,"{'2': {'IVPY': {'': {'crystal_radius': 1.12, 'ionic_radius': 0.98}}, 'VI': {'': {'crystal_radius': 1.33, 'ionic_radius': 1.19}}, 'VII': {'': {'crystal_radius': 1.37, 'ionic_radius': 1.23}}, 'VIII': {'': {'crystal_radius': 1.43, 'ionic_radius': 1.29}}, 'IX': {'': {'crystal_radius': 1.49, 'ionic_radius': 1.35}}, 'X': {'': {'crystal_radius': 1.54, 'ionic_radius': 1.4}}, 'XI': {'': {'crystal_radius': 1.5899999999999999, 'ionic_radius': 1.45}}, 'XII': {'': {'crystal_radius': 1.63, 'ionic_radius': 1.49}}}, '4': {'IV': {'': {'crystal_radius': 0.79, 'ionic_radius': 0.65}}, 'V': {'': {'crystal_radius': 0.87, 'ionic_radius': 0.73}}, 'VI': {'': {'crystal_radius': 0.915, 'ionic_radius': 0.775}}, 'VIII': {'': {'crystal_radius': 1.08, 'ionic_radius': 0.9400000000000001}}}}",7.2 ,35 ,2.02,1260 ,,2.33,16 ,1.75,82.0,"[7.4166799, 15.032499, 31.9373, 42.33256, 68.8, 82.9, 100.1, 120.0, 138.0, 158.0, 182.0, 203.0, 224.0, 245.1, 338.1, 374.0, 401.0, 427.0, 478.0, 507.0, 570.0, 610.0, 650.0, 690.0, 750.0, 810.0, 870.0, 930.0, 990.0, 1050.0, 1120.0, 1180.0, 1240.0, 1300.0, 1360.0, 1430.0, 1704.0, 1760.0, 1819.0, 1884.0, 1945.0, 2004.0, 2101.0, 2163.0, 2230.0, 2292.0, 2543.0, 2605.0, 2671.0, 2735.0, 2965.0, 3036.0, 3211.0, 3282.1, 5414.0, 5555.0, 5703.0, 5862.0, 6015.0, 6162.0, 6442.0, 6597.0, 6767.0, 6924.0, 7362.0, 7500.0, 7650.0, 7790.0, 8520.0, 8680.0, 9000.0, 9150.0, 19590.0, 19970.0, 20380.0, 20750.0, 23460.0, 23940.0, 24550.0, 24938.2, 99491.85, 101336.4]",0.3567211999999999,"[2, 4]",
82,Bi,208.9804,83,"{'1s': -2975.550959, '2p': -484.716359, '2s': -502.950758, '3d': -95.532476, '3p': -111.883393, '3s': -120.613998, '4d': -16.084817, '4f': -6.382744, '4p': -23.218641, '4s': -27.07034, '5d': -1.139408, '5p': -3.293637, '5s': -4.611934, '6p': -0.180198, '6s': -0.426129}",1.6,1.43,1837 ,94.2 ,31 ,13.4 ,[3],,9780 ,130 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>3</sup>,"{'3': 1.17, '5': 0.9}",1292.6 ,544.4 ,87.0,2.25,21.31 ,Bismuth,"[-3, 3, 5]",0.33,,,12 ,"{'3': {'V': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}, 'VI': {'': {'crystal_radius': 1.17, 'ionic_radius': 1.03}}, 'VIII': {'': {'crystal_radius': 1.31, 'ionic_radius': 1.17}}}, '5': {'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}}}",,8 ,2.07,1790 ,,2.02,32 ,1.82,87.0,"[7.285516, 16.703, 25.57075, 45.37, 54.856, 88.4, 103.0, 122.0, 143.0, 161.1, 183.0, 208.0, 229.0, 252.0, 272.6, 370.2, 409.0, 436.0, 464.0, 520.0, 550.0, 620.0, 660.0, 690.0, 750.0, 810.0, 870.0, 930.0, 990.0, 1060.0, 1120.0, 1180.0, 1250.0, 1310.0, 1380.0, 1440.0, 1500.0, 1784.0, 1840.0, 1902.0, 1967.0, 2029.0, 2090.0, 2190.0, 2253.0, 2321.0, 2385.0, 2641.0, 2703.0, 2771.0, 2835.0, 3078.0, 3151.0, 3329.0, 3401.8, 5599.0, 5740.0, 5892.0, 6054.0, 6208.0, 6358.0, 6648.0, 6804.0, 6977.0, 7137.0, 7580.0, 7720.0, 7870.0, 8010.0, 8780.0, 8950.0, 9270.0, 9430.0, 20130.0, 20500.0, 20920.0, 21300.0, 24150.0, 24640.0, 25260.0, 25656.9, 102251.76, 104132.8]",0.94236213,"[1, 2, 3, 5]",
83,Po,210.0,84,"{'1s': -3050.988417, '2p': -498.77192, '2s': -517.275843, '3d': -99.256068, '3p': -115.898384, '3s': -124.783683, '4d': -17.173307, '4f': -7.206499, '4p': -24.481337, '4s': -28.42254, '5d': -1.386458, '5p': -3.655382, '5s': -5.027447, '6p': -0.217889, '6s': -0.49352799999999997}",1.9,1.35,1235 ,,,,"[-2, 2, 4]",,9196 ,40 ,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>4</sup>,"{'4': 1.08, '6': 0.81}",708 ,527 ,91.0,,22.97 ,Polonium,"[-2, 2, 4, 6]",,,,,"{'4': {'VI': {'': {'crystal_radius': 1.08, 'ionic_radius': 0.9400000000000001}}, 'VIII': {'': {'crystal_radius': 1.22, 'ionic_radius': 1.08}}}, '6': {'VI': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}}}",,20 ,1.97,,,2.0,,1.53,93.0,"[8.41807, 19.3, 27.3, 36.0, 57.0, 69.1, 108.0, 125.0, 146.1, 166.0, 186.0, 209.0, 235.0, 257.0, 281.0, 304.0, 416.0, 444.0, 473.0, 502.0, 560.0, 590.0, 670.0, 700.0, 740.0, 800.0, 870.0, 930.0, 990.0, 1060.0, 1120.0, 1180.0, 1250.0, 1320.0, 1380.0, 1440.0, 1510.0, 1570.0, 1865.0, 1923.0, 1986.0, 2052.0, 2115.0, 2177.0, 2281.0, 2345.0, 2414.0, 2480.0, 2740.0, 2803.0, 2873.0, 2938.0, 3194.0, 3268.0, 3450.0, 3524.2, 5785.0, 5930.0, 6084.0, 6248.0, 6405.0, 6557.0, 6856.0, 7015.0, 7191.0, 7350.0, 7810.0, 7950.0, 8100.0, 8240.0, 9050.0, 9220.0, 9550.0, 9710.0, 20670.0, 21050.0, 21470.0, 21860.0, 24860.0, 25360.0, 25990.0, 26390.4, 105064.3, 106982.7]",1.407,,
84,At,210.0,85,"{'1s': -3127.390276, '2p': -513.044243, '2s': -531.81835, '3d': -103.060375, '3p': -119.995013, '3s': -129.035542, '4d': -18.295162, '4f': -8.063483, '4p': -25.778264, '4s': -29.809515, '5d': -1.643758, '5p': -4.027061, '5s': -5.453383, '6p': -0.255453, '6s': -0.5601889999999999}",,,,,,,"[-1, 1]",,,,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>5</sup>,{'7': 0.76},,575 ,96.0,,,Astatine,"[-1, 1, 3, 5]",,,,,"{'7': {'VI': {'': {'crystal_radius': 0.76, 'ionic_radius': 0.62}}}}",,2 (),2.02,,,2.2,,,98.0,"[9.31751, 17.88, 26.58, 39.65, 50.39, 72.0, 85.1, 130.1, 149.0, 169.0, 192.1, 212.0, 236.0, 263.0, 287.0, 311.0, 335.0, 452.0, 481.0, 510.0, 540.0, 600.0, 630.0, 720.0, 750.0, 790.0, 860.0, 920.0, 990.0, 1050.0, 1120.0, 1180.0, 1250.0, 1320.0, 1380.0, 1450.0, 1510.0, 1590.0, 1650.0, 1948.0, 2007.0, 2071.0, 2139.0, 2203.0, 2266.0, 2373.0, 2439.0, 2510.0, 2576.0, 2841.0, 2905.0, 2977.0, 3042.0, 3312.0, 3388.0, 3573.0, 3649.0, 5976.0, 6122.0, 6279.0, 6445.0, 6604.0, 6759.0, 7068.0, 7230.0, 7410.0, 7570.0, 8030.0, 8180.0, 8330.0, 8480.0, 9330.0, 9500.0, 9830.0, 9990.0, 21210.0, 21600.0, 22030.0, 22420.0, 25580.0, 26090.0, 26730.0, 27139.0, 107923.4, 109886.0]",2.415787,,
85,Rn,220.0,86,"{'1s': -3204.756288, '2p': -527.533025, '2s': -546.57796, '3d': -106.945006, '3p': -124.172862, '3s': -133.369144, '4d': -19.449994, '4f': -8.953318, '4p': -27.108985, '4s': -31.230804, '5d': -1.9113289999999998, '5p': -4.408702, '5s': -5.889683, '6p': -0.29318000000000005, '6s': -0.6265700000000001}",,1.2,211.3 ,,,,,377 ,,,[Xe].4f<sup>14</sup>.5d<sup>10</sup>.6s<sup>2</sup>.6p<sup>6</sup>,,9.3 ,202 ,6.0,,50.50 ,Radon,,,,,,,,0.00361 ,2.2,,,2.2,,,0.0,"[10.7485, 21.4, 29.4, 36.9, 52.9, 64.0, 88.0, 102.0, 154.0, 173.9, 195.0, 218.0, 240.0, 264.0, 293.0, 317.0, 342.0, 367.0, 488.0, 520.0, 550.0, 580.0, 640.0, 680.0, 760.0, 800.0, 850.0, 920.0, 980.0, 1050.0, 1110.0, 1180.0, 1250.0, 1310.0, 1390.0, 1460.0, 1520.0, 1590.0, 1660.0, 1720.0, 2033.0, 2094.0, 2158.0, 2227.0, 2293.0, 2357.0, 2467.0, 2535.0, 2606.0, 2674.0, 2944.0, 3010.0, 3082.0, 3149.0, 3433.0, 3510.0, 3699.0, 3777.0, 6169.0, 6318.0, 6476.0, 6646.0, 6807.0, 6964.0, 7283.0, 7450.0, 7630.0, 7800.0, 8260.0, 8410.0, 8570.0, 8710.0, 9610.0, 9780.0, 10120.0, 10290.0, 21770.0, 22160.0, 22600.0, 22990.0, 26310.0, 26830.0, 27490.0, 27903.1, 110842.0, 112843.7]",-0.72,,
86,Fr,223.0,87,"{'1s': -3283.263399, '2p': -542.41424, '2s': -561.73045, '3d': -111.085223, '3p': -128.607136, '3s': -137.959632, '4d': -20.812462, '4f': -10.050648, '4p': -28.648131, '4s': -32.861013, '5d': -2.360991, '5p': -4.97328, '5s': -6.509516, '6p': -0.466197, '6s': -0.8418479999999999, '7s': -0.076176}",,,,,,,[1],,,,[Rn].7s<sup>1</sup>,{'1': 1.94},,maybe about 300 ,7.0,,,Francium,[1],,,,,"{'1': {'VI': {'': {'crystal_radius': 1.94, 'ionic_radius': 1.8}}}}",,,3.48,,,0.7000000000000001,,,6.0,"[4.0727411, 22.4, 33.5, 39.1, 50.0, 67.0, 80.0, 106.0, 120.0, 179.0, 200.0, 222.1, 245.0, 269.0, 293.0, 324.0, 349.0, 375.0, 400.0, 530.0, 560.0, 590.0, 620.0, 690.0, 720.0, 810.0, 850.0, 910.0, 980.0, 1040.0, 1110.0, 1180.0, 1250.0, 1320.0, 1380.0, 1460.0, 1530.0, 1600.0, 1670.0, 1740.0, 1810.0, 2119.0, 2182.0, 2247.0, 2317.0, 2384.0, 2450.0, 2564.0, 2631.0, 2706.0, 2774.0, 3049.0, 3115.0, 3190.0, 3257.0, 3556.0, 3635.0, 3828.0, 3907.0, 6365.0, 6516.0, 6678.0, 6849.0, 7013.0, 7172.0, 7500.0, 7670.0, 7850.0, 8020.0, 8500.0, 8640.0, 8800.0, 8950.0, 9890.0, 10070.0, 10420.0, 10590.0, 22330.0, 22730.0, 23170.0, 23570.0, 27060.0, 27590.0, 28260.0, 28683.4, 113817.2, 115859.0]",0.486,,
87,Ra,226.0,88,"{'1s': -3362.736563, '2p': -557.513214, '2s': -577.101208, '3d': -115.306476, '3p': -133.12325, '3s': -142.632426, '4d': -22.208125, '4f': -11.181066, '4p': -30.221208, '4s': -34.525628, '5d': -2.819853, '5p': -5.547203, '5s': -7.139137, '6p': -0.634674, '6s': -1.05135, '7s': -0.113732}",2.15,,2010 ,,,,[2],,5000 ,100 ,[Rn].7s<sup>2</sup>,{'2': 1.62},1037 ,973 ,13.0,,41.09 ,Radium,[2],,,,,"{'2': {'VIII': {'': {'crystal_radius': 1.62, 'ionic_radius': 1.48}}, 'XII': {'': {'crystal_radius': 1.8399999999999999, 'ionic_radius': 1.7000000000000002}}}}",,19 ,2.83,,,0.9,,2.293,12.0,"[5.2784239, 10.14718, 31.0, 41.0, 52.9, 64.0, 82.0, 97.0, 124.0, 140.0, 204.9, 227.0, 250.0, 274.0, 299.0, 324.0, 356.0, 382.0, 409.0, 435.0, 570.0, 600.0, 630.0, 660.0, 740.0, 770.0, 860.0, 900.0, 970.0, 1040.0, 1110.0, 1180.0, 1250.0, 1320.0, 1390.0, 1460.0, 1530.0, 1610.0, 1680.0, 1750.0, 1820.0, 1880.0, 2208.0, 2271.0, 2338.0, 2409.0, 2477.0, 2544.0, 2662.0, 2731.0, 2806.0, 2876.0, 3155.0, 3224.0, 3298.0, 3368.0, 3682.0, 3762.0, 3959.0, 4040.0, 6565.0, 6718.0, 6881.0, 7056.0, 7222.0, 7380.0, 7720.0, 7890.0, 8080.0, 8250.0, 8730.0, 8880.0, 9040.0, 9200.0, 10190.0, 10360.0, 10720.0, 10890.0, 22900.0, 23300.0, 23750.0, 24160.0, 27830.0, 28370.0, 29050.0, 29479.8, 116848.7, 118931.3]",0.1,,{'Ra-223': 1210.3}
88,Ac,227.0,89,"{'1s': -3443.110367, '2p': -572.7627, '2s': -592.622878, '3d': -119.541743, '3p': -137.654394, '3s': -147.320716, '4d': -23.57061, '4f': -12.278225, '4p': -31.761846, '4s': -36.15826, '5d': -3.222752, '5p': -6.06511, '5s': -7.713078, '6d': -0.137786, '6p': -0.744524, '6s': -1.19698, '7s': -0.126551}",1.9500000000000002,,3573 ,,,,[3],,10070 ,,[Rn].6d<sup>1</sup>.7s<sup>2</sup>,{'3': 1.26},2250 ,1323 ,48.0,,22.55 ,Actinium,[3],,,,,"{'3': {'VI': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.12}}}}",,12 ,2.47,,,1.1,,1.8780000000000001,32.0,"[5.380226, 11.75, 17.431, 44.8, 55.0, 67.0, 79.0, 98.9, 113.9, 143.9, 161.1, 233.0, 255.0, 279.0, 305.0, 330.0, 355.0, 390.0, 416.0, 444.0, 470.0, 610.0, 640.0, 670.0, 710.0, 780.0, 820.0, 920.0, 950.0, 1030.0, 1100.0, 1170.0, 1240.0, 1310.0, 1380.0, 1460.0, 1530.0, 1610.0, 1680.0, 1750.0, 1820.0, 1900.0, 1970.0, 2298.0, 2362.0, 2430.0, 2503.0, 2572.0, 2639.0, 2762.0, 2833.0, 2908.0, 2980.0, 3264.0, 3334.0, 3409.0, 3479.0, 3811.0, 3893.0, 4093.0, 4175.0, 6767.0, 6923.0, 7088.0, 7265.0, 7430.0, 7600.0, 7950.0, 8120.0, 8310.0, 8480.0, 8970.0, 9120.0, 9290.0, 9440.0, 10480.0, 10660.0, 11030.0, 11200.0, 23480.0, 23890.0, 24340.0, 24760.0, 28610.0, 29160.0, 29850.0, 30293.1, 119938.6, 122062.9]",0.35,,
89,Th,232.03806,90,"{'1s': -3524.439052, '2p': -588.218112, '2s': -608.350958, '3d': -123.846396, '3p': -142.25581, '3s': -152.079741, '4d': -24.955184, '4f': -13.397389, '4p': -33.325252, '4s': -37.814094, '5d': -3.6257289999999998, '5p': -6.58281, '5s': -8.287057, '6d': -0.172896, '6p': -0.8469209999999999, '6s': -1.333769, '7s': -0.135872}",1.8,,5093 ,400 ,54 ,11.0 ,[4],,11724 ,15 ,[Rn].6d<sup>2</sup>.7s<sup>2</sup>,{'4': 1.08},2978 ,2115 ,47.0,3.0,19.80 ,Thorium,"[2, 3, 4]",0.27,,,31 ,"{'4': {'VI': {'': {'crystal_radius': 1.08, 'ionic_radius': 0.9400000000000001}}, 'VIII': {'': {'crystal_radius': 1.19, 'ionic_radius': 1.05}}, 'IX': {'': {'crystal_radius': 1.23, 'ionic_radius': 1.09}}, 'X': {'': {'crystal_radius': 1.27, 'ionic_radius': 1.13}}, 'XI': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'XII': {'': {'crystal_radius': 1.35, 'ionic_radius': 1.21}}}}",1.38 ,54 ,2.45,2490 ,350,1.3,79 ,1.798,31.0,"[6.3067, 12.1, 18.32, 28.648, 58.0, 69.1, 82.0, 95.0, 118.0, 133.0, 165.0, 181.0, 262.0, 285.0, 310.0, 336.0, 362.0, 389.0, 424.0, 451.0, 480.0, 508.0, 650.0, 680.0, 720.0, 750.0, 830.0, 870.0, 970.0, 1010.0, 1090.0, 1160.0, 1240.0, 1310.0, 1380.0, 1460.0, 1530.0, 1600.0, 1680.0, 1760.0, 1830.0, 1910.0, 1980.0, 2060.0, 2390.0, 2455.0, 2524.0, 2598.0, 2669.0, 2737.0, 2864.0, 2935.0, 3013.0, 3086.0, 3375.0, 3445.0, 3522.0, 3593.0, 3943.0, 4025.0, 4230.0, 4313.0, 6972.0, 7130.0, 7299.0, 7480.0, 7650.0, 7810.0, 8180.0, 8350.0, 8550.0, 8720.0, 9220.0, 9370.0, 9540.0, 9690.0, 10790.0, 10970.0, 11340.0, 11510.0, 24060.0, 24480.0, 24940.0, 25360.0, 29410.0, 29970.0, 30680.0, 31122.8, 123086.4, 125253.4]",1.17,[4],
