,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
85,Rn,86.0,-1.358879692225037e-18,-1.358879692225037e-18,3.4748166769572484e-19,3.4748166769572484e-19,2.7414635874067487e-19,1.942640402398447e-18,2.72265884055648e-19,1.940945652031815e-18,2.68625,,,2.68625,2.64105,,,2.64105,0.87375,1.09265,0.49495,1.09265,0.87205,1.0800500000000002,0.49495,1.0800500000000002,0.8702500000000001,1.0696500000000002,0.49485,1.0695500000000002,2.68705,,,2.68625,2.63865,,,2.64105,0.87375,1.09265,0.49495,1.09265,0.87185,1.0800500000000002,0.49495,1.0800500000000002,0.86985,1.0696500000000002,0.49485,1.0695500000000002
86,Fr,87.0,-3.880359623214145e-19,-3.880359623214145e-19,-2.210314800757056e-19,-2.210314800757056e-19,-2.9477390209315085e-20,6.519426661283539e-19,-2.96546870743872e-20,6.478272992075138e-19,2.89695,,,2.89695,2.61935,,,2.61935,2.42025,,,2.42025,2.35615,,,2.35615,0.83675,1.0249500000000002,0.48025,1.0249500000000002,2.89695,,,2.89695,2.67165,,,2.61935,2.38175,,,2.42025,2.31885,,,2.35615,0.83675,1.0249500000000002,0.48025,1.0249500000000002
87,Ra,88.0,-5.507850634622784e-19,-5.507850634622784e-19,-1.143649693693248e-19,-1.143649693693248e-19,1.7518896119168541e-19,8.358775089107585e-19,1.7715587331509762e-19,8.321737411967615e-19,2.37695,,,2.65275,2.25945,,,2.65205,2.17065,,,2.17065,2.10145,,,2.10145,2.05225,,,2.05225,2.34975,,,2.65275,2.24835,,,2.65205,2.17065,,,2.17065,2.11825,,,2.10145,2.04465,,,2.05225
88,Ac,89.0,-6.608658125475841e-19,-2.9966470644794883e-19,-3.7340328324364796e-20,-2.9966470644794883e-19,1.1306691792059642e-19,7.588411720033977e-19,1.192884581250432e-19,7.470212581544834e-19,2.18205,,1.6116500000000002,1.6116500000000002,2.08325,,1.51245,1.51245,1.99965,,1.43725,1.43725,1.93265,,1.3797500000000005,1.3797500000000005,1.88055,,1.3360500000000002,1.88055,2.18205,,1.6116500000000002,1.6116500000000002,2.08325,,1.51245,1.51245,1.99975,,1.43725,1.43725,1.93265,,1.3797500000000005,1.3797500000000005,1.88055,,1.3360500000000002,1.88055
89,Th,90.0,-7.147373992453632e-19,-4.1148221499020163e-19,-3.1801924181583355e-19,-4.1148221499020163e-19,7.31340274735867e-20,9.187261901334009e-19,7.777125535025281e-20,9.201684855643393e-19,2.01535,,1.39485,1.39485,1.94645,,1.3456500000000002,1.3457500000000002,1.8797500000000005,,1.30425,1.30425,1.81865,,1.2694500000000002,1.2694500000000002,1.77845,,1.2515500000000002,1.2515500000000002,2.01535,,1.39485,1.39485,1.94635,,1.3456500000000002,1.3457500000000002,1.8795500000000005,,1.30425,1.30425,1.81865,,1.2694500000000002,1.2694500000000002,1.7786500000000005,,1.2515500000000002,1.2515500000000002
90,Pa,91.0,-6.277488217956479e-19,-3.9282967477084793e-19,-2.196776408311296e-19,-3.9282967477084793e-19,2.1858735972681423e-20,8.636513847923784e-19,2.5009977050688e-20,8.193098651083585e-19,1.93325,,1.3196500000000002,1.3197500000000002,1.89795,,1.30465,1.30475,1.86465,,1.29245,0.5890500000000001,1.83235,,1.28055,0.59295,1.7636500000000002,,1.23175,0.58845,1.9906500000000005,,0.58165,1.3197500000000002,1.94345,,1.30465,1.30475,1.89995,,0.58875,0.5890500000000001,1.86005,,0.59295,0.59295,1.78215,,0.58845,0.58845
91,U,92.0,-5.065569778450943e-19,-5.065569778450943e-19,-2.8722060063419524e-19,-2.8722060063419524e-19,9.704628922342733e-20,1.4274959181040925e-18,1.9610641838592e-19,9.23382451865664e-19,1.95245,,1.3643500000000002,0.5589500000000001,1.9219500000000005,,1.3701500000000002,0.56835,1.8309500000000003,,1.2615500000000002,0.5648500000000001,1.8250500000000005,,1.2754500000000002,0.5678500000000001,1.7973500000000002,,1.2609500000000002,0.57055,1.99085,,0.61375,0.5589500000000001,1.96305,,0.56835,0.56835,1.94735,,0.59345,0.5648500000000001,1.86175,,0.5679500000000001,0.5678500000000001,1.84665,,0.57055,0.57055
92,Np,93.0,-5.457205831639295e-19,-2.7382960843754884e-19,-1.1958806515313278e-19,-2.7382960843754884e-19,3.1186677140911134e-19,8.815239373679232e-19,3.1581144243237124e-19,9.743845402355905e-19,1.9542500000000005,,1.4752500000000002,0.54765,1.93035,,1.4426500000000002,0.55005,1.88315,,1.36535,0.54945,1.8189500000000005,,1.28195,0.54645,1.79445,,1.26985,0.54935,1.99785,,0.54765,0.54765,1.97485,,0.55005,0.55005,1.92905,,0.54945,0.54945,1.86975,,0.54645,0.54645,1.84215,,0.54935,0.54935
93,Pu,94.0,-5.729351552448386e-19,-4.3359385453386244e-19,-1.608200804894208e-19,-4.3359385453386244e-19,7.564808292658474e-20,7.570281008498904e-19,2.617892511322368e-19,7.538994023875777e-19,2.02125,,,0.52495,1.99945,,,0.52385,1.84235,,,0.5265500000000001,1.83045,,,0.52525,1.74165,,,0.52645,2.18155,,,0.52495,2.11125,,,0.52385,1.91295,,,0.5265500000000001,1.92355,,,0.52525,1.7774500000000002,,,0.52645
94,Am,95.0,-5.840013891647039e-19,-5.840013891647039e-19,-1.45573767765888e-19,-1.45573767765888e-19,3.2176711753740604e-19,9.21708657989543e-19,3.2883713835947524e-19,9.193818168435265e-19,1.9216500000000003,,,0.50375,1.86915,,,0.50355,1.81005,,,0.50315,1.7605500000000005,,,0.50315,1.70775,,,0.50305,1.98535,,,0.50375,1.93685,,,0.50355,1.87915,,,0.50315,1.83825,,,0.50315,1.76995,,,0.50305
95,Cm,96.0,-6.58933587542899e-19,-3.2269759754856964e-19,-2.3568178309630075e-19,-3.2269759754856964e-19,1.8818176442392832e-19,8.657532963439686e-19,1.926729538875456e-19,7.967191747550784e-19,1.7977500000000002,,1.2936500000000002,0.48345,1.75775,,1.2308500000000002,0.48325,1.7128500000000002,,1.1783500000000002,0.48295,1.67955,,1.15355,0.48385,1.6114500000000005,,1.0996500000000002,0.4819500000000001,1.85475,,0.48345,0.48345,1.81735,,1.2308500000000002,0.48325,1.77395,,1.1783500000000002,0.48295,1.7363500000000005,,1.15355,0.48385,1.6681500000000002,,1.0996500000000002,0.4819500000000001
96,Bk,97.0,-6.201288697871232e-19,-9.106611694965118e-20,4.8882408700608e-21,-9.106611694965118e-20,-2.3323988967525263e-19,9.342764037809556e-19,2.8415723893522564e-19,9.954371410329025e-19,1.94355,,,1.94355,1.8470500000000003,,,0.47815,1.7625500000000005,,,0.47185,1.6505500000000002,,,0.46865,1.6194500000000005,,,0.46955,1.9944500000000005,,,1.94355,1.92275,,,0.47815,1.81565,,,0.47185,1.68935,,,0.46865,1.6679500000000005,,,0.46955
97,Cf,98.0,-6.314947107350784e-19,-3.0056192535559687e-19,-3.86669305663872e-20,-3.0056192535559687e-19,-3.792777118943009e-19,2.6826842137318695e-19,3.247003183245696e-19,1.1136072798766272e-18,1.9419500000000005,,,0.46255,1.83465,,,0.46025,1.74375,,,0.45865,1.6540500000000002,,,0.45675,1.63675,,,0.45955,1.99075,,,0.46255,1.88055,,,0.46025,1.7785500000000003,,,0.45865,1.68115,,,0.45675,1.6658500000000005,,,0.45955
98,Es,99.0,-6.422661441567167e-19,-6.422661441567167e-19,-9.3054418136064e-21,-9.3054418136064e-21,3.665192910762236e-19,9.739479631388306e-19,3.7928487361860483e-19,9.876137125935362e-19,1.9140500000000005,,,0.44955,1.9055500000000003,,,0.44895,1.7250500000000002,,,0.44675,1.6621500000000002,,,0.44725,1.61285,,,0.44725,1.94505,,,0.44955,1.9357500000000003,,,0.44895,1.7528500000000002,,,0.44675,1.69955,,,0.44725,1.6374500000000003,,,0.44725
99,Fm,100.0,-6.336288099939839e-19,-5.754730030121857e-19,7.079057181342719e-20,-5.754730030121857e-19,1.8594765730364603e-19,9.34903864174109e-19,1.7797138121508484e-19,8.800932417482689e-19,2.07215,,,0.43955,1.88475,,,0.43735,1.7645500000000005,,,0.43805,1.6991500000000002,,,0.43745,1.6684500000000002,,,0.43785,2.08135,,,0.43955,1.90075,,,0.43735,1.73975,,,0.43805,1.72565,,,0.43745,1.6722500000000002,,,0.43785
100,Md,101.0,-6.667009398005378e-19,-6.667009398005378e-19,-2.904073299329664e-19,-2.904073299329664e-19,2.935232429732683e-19,1.09544901113129e-18,-3.39196812389568e-20,9.84962110286112e-19,2.14455,,,0.42845,1.8636500000000005,,,0.42665,1.68775,,,0.42815,1.69565,,,1.69565,1.6798500000000005,,,0.42825,2.14455,,,0.42845,1.86875,,,0.42665,1.68145,,,0.42815,1.7041500000000005,,,1.69565,1.6798500000000005,,,0.42825
101,No,102.0,-6.7746756669231375e-19,-6.7746756669231375e-19,4.6961398932268805e-20,4.6961398932268805e-20,3.405642700995631e-19,1.037549231981747e-18,3.356511955277376e-19,1.0336891078545025e-18,1.85765,,,2.18305,1.7201500000000003,,,2.20915,1.6648500000000002,,,1.6648500000000002,1.6038500000000002,,,1.6038500000000002,1.5591500000000005,,,1.5591500000000005,1.77245,,,2.18305,1.7614500000000002,,,2.20915,1.6648500000000002,,,1.6648500000000002,1.6197500000000002,,,1.6038500000000002,1.56625,,,1.5591500000000005
