,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
66,Ho,67.0,-5.660970654272642e-19,-2.8086797033272323e-19,-1.4105562969523201e-19,-2.8086797033272323e-19,1.7976155724848245e-19,8.293682498337584e-19,3.370851436033536e-19,9.968967239344513e-19,2.00265,,,0.27735,1.95845,,,0.27755,1.80255,,,0.27685,1.71775,,,0.27655,1.6759500000000005,,,0.27695,2.04265,,,0.27735,1.95545,,,0.27755,1.82375,,,0.27685,1.73395,,,0.27655,1.6788500000000002,,,0.27695
67,Er,68.0,-5.782768120985856e-19,-3.5203184929879685e-19,-1.15220531684832e-19,-3.5203184929879685e-19,3.2583669414713683e-19,9.621676551223224e-19,3.8271833811697923e-19,1.0138894091746558e-18,1.97675,,,0.26955,1.93455,,,0.26995,1.7838500000000002,,,0.26945,1.7290500000000002,,,0.26955,1.67555,,,0.26945,2.00615,,,0.26955,1.93025,,,0.26995,1.7933500000000002,,,0.26945,1.7290500000000002,,,0.26955,1.6758500000000005,,,0.26945
68,Tm,69.0,-5.32371247559424e-19,-4.1237783172122883e-19,-8.963056669741439e-20,-4.1237783172122883e-19,3.3166908166359355e-19,9.764153792039804e-19,4.0261897392393603e-19,1.0352944888285443e-18,1.97505,,,0.26335,1.90435,,,0.26275,1.76175,,,0.26245,1.7064500000000002,,,1.7064500000000002,1.6576500000000003,,,0.26245,1.97675,,,0.26335,1.90435,,,0.26275,1.76585,,,0.26245,1.7065500000000002,,,1.7064500000000002,1.65895,,,0.26245
69,Yb,70.0,-4.619812199011968e-19,-4.619812199011968e-19,-6.7427603086368e-20,-6.7427603086368e-20,2.761792965734941e-19,9.987871000763518e-19,2.9479408952071683e-19,1.023236507580403e-18,1.88885,,,2.16005,1.81145,,,2.14435,1.7393500000000002,,,0.25575,1.6737500000000003,,,0.25575,1.6245500000000002,,,1.6245500000000002,1.89835,,,2.16005,1.81145,,,2.14435,1.7393500000000002,,,0.25575,1.6765500000000002,,,0.25575,1.6204500000000002,,,1.6245500000000002
70,Lu,71.0,-6.776662365932928e-19,-2.8430143483109763e-19,-2.0169320826264962e-19,-2.8430143483109763e-19,2.007520736851168e-19,8.680646123733796e-19,2.1025844447744642e-19,8.503151870740799e-19,1.7590500000000002,,1.0976500000000002,1.0976500000000002,1.6822500000000002,,1.02065,1.02065,1.61705,,0.97425,0.97425,1.5651500000000005,,0.94395,0.94395,1.5267500000000005,,0.92445,1.5267500000000005,1.80785,,1.0976500000000002,1.0976500000000002,1.7167500000000002,,1.02065,1.02065,1.6363500000000002,,0.97425,0.97425,1.57265,,0.94395,0.94395,1.5267500000000005,,0.92445,1.5267500000000005
71,Hf,72.0,-7.222916620124351e-19,-4.843283794081154e-19,-3.121232318512896e-19,-4.843283794081154e-19,7.529225554014339e-20,1.1105136210013612e-18,8.098842600481921e-20,1.098189534254669e-18,1.64915,,0.95255,0.95255,1.5780500000000002,,0.91725,0.91735,1.52235,,0.8924500000000001,0.8924500000000001,1.4789500000000002,,0.87385,0.87385,1.44585,,0.85975,0.85975,1.7567500000000005,,0.95255,0.95255,1.64545,,0.91725,0.91735,1.5600500000000002,,0.8924500000000001,0.8924500000000001,1.4986500000000005,,0.87385,0.87385,1.4549500000000002,,0.85975,0.85975
72,Ta,73.0,-7.4801300548275845e-19,-6.7091145996e-19,-4.027022871082176e-19,-6.7091145996e-19,-6.097219315329031e-20,1.1845277721934232e-18,-5.698942240185599e-20,1.1489144460691971e-18,1.56425,,0.86805,0.86805,1.49965,,0.84935,0.84935,1.4461500000000005,,0.8339500000000001,0.8340500000000001,1.4228500000000002,,0.83525,0.83525,1.3844500000000002,,0.82165,0.82165,1.6803500000000002,,0.86805,0.86805,1.58495,,0.84935,0.84935,1.50215,,0.8339500000000001,0.8340500000000001,1.43135,,0.83525,0.83525,1.39105,,0.82165,0.82165
73,W,74.0,-6.554456490394178e-19,-6.554456490394178e-19,-4.032261988632192e-19,-4.032261988632192e-19,-7.653778763212184e-20,1.3357383177597561e-18,-2.0283876454652161e-19,1.3279672965033217e-18,1.4935500000000002,,0.8089500000000001,0.8089500000000001,1.43345,,0.7977500000000001,0.7976500000000001,1.4100500000000002,,0.80035,0.80025,1.3660500000000002,,0.7895500000000001,0.7895500000000001,1.3314500000000002,,0.78035,0.78035,1.63505,,0.8089500000000001,0.8089500000000001,1.5374500000000002,,0.7977500000000001,0.7976500000000001,1.43325,,0.80035,0.80025,1.3841500000000002,,0.7895500000000001,0.7895500000000001,1.34465,,0.78035,0.78035
74,Re,75.0,-7.753381277505023e-19,-7.753381277505023e-19,-5.569021738004928e-19,-5.569021738004928e-19,7.869253894254462e-20,1.2353106347301581e-18,8.70670841041344e-20,1.235412757472947e-18,1.44525,,0.76305,0.76315,1.38085,,0.75595,0.75585,1.3320500000000002,,0.7494500000000001,0.7494500000000001,1.30685,,0.74755,0.7474500000000001,1.28455,,0.74505,0.74505,1.54865,,0.76305,0.76315,1.4744500000000005,,0.75595,0.75585,1.4105500000000002,,0.7494500000000001,0.7494500000000001,1.3655500000000005,,0.74755,0.7474500000000001,1.30275,,0.74505,0.74505
75,Os,76.0,-8.6321270887152e-19,-7.754887323528576e-19,-8.76022110954816e-20,-7.754887323528576e-19,-1.1351950076313734e-19,1.3528775380433958e-18,-1.056619459651392e-19,1.3217957121600001e-18,1.3976500000000005,,0.72835,0.7282500000000001,1.33715,,0.72175,0.72175,1.29055,,0.71595,0.71595,1.27025,,0.71535,0.71535,1.24595,,0.71225,0.7121500000000001,1.46605,,0.72835,0.7282500000000001,1.3996500000000005,,0.72175,0.72175,1.3434500000000005,,0.71595,0.71595,1.31055,,0.71525,0.71535,1.2767500000000005,,0.71225,0.7121500000000001
