,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
78,Au,79.0,-9.260084193471553e-19,-9.260084193471553e-19,-9.260084193471553e-19,-9.260084193471553e-19,-3.7212493857461213e-19,1.5158677347512277e-18,-3.7056582844821113e-19,1.5088834783474369e-18,1.29855,0.64595,,1.29855,1.2571500000000002,,0.64485,1.2571500000000002,1.2226500000000002,,0.64365,1.2226500000000002,1.1945500000000002,,0.64235,1.1945500000000002,1.17135,,0.64095,1.17135
79,Hg,80.0,-1.0982488147896387e-18,-1.0982488147896387e-18,-1.13882714206464e-19,-1.13882714206464e-19,2.6707991072227987e-19,1.7291446479190389e-18,2.740314826917696e-19,1.7270342448589442e-18,1.2009500000000002,0.6163500000000001,1.92485,1.92485,1.1826500000000002,1.80755,0.61615,1.80755,1.1639500000000005,,0.61595,1.1639500000000005,1.13965,,0.61485,1.13965,1.1200500000000002,,0.61355,1.1200500000000002
80,Tl,81.0,-1.508305092587328e-18,-3.460605370330752e-19,-3.460605370330752e-19,-3.460605370330752e-19,8.273835536473274e-20,8.192680002305201e-19,8.80187770168896e-20,8.09172893628557e-19,1.1138500000000002,0.59085,1.7332500000000002,1.7332500000000002,1.1059500000000002,1.62695,0.59075,1.62695,1.09735,1.53605,0.59055,1.53605,1.08855,1.4649500000000002,0.59025,1.4649500000000002,1.0799500000000002,1.40925,0.58985,1.40925
81,Pb,82.0,-1.91532204133536e-18,-5.428286543633856e-19,-5.428286543633856e-19,-5.428286543633856e-19,-7.386567747227957e-20,1.052943794133563e-18,-6.944634562857601e-20,1.0453161035916481e-18,1.0499500000000002,0.5678500000000001,1.5250500000000002,1.5250500000000002,1.0450500000000005,1.4588500000000002,0.5678500000000001,1.4588500000000002,1.0396500000000002,1.4028500000000002,0.56775,1.4028500000000002,1.0337500000000002,1.35705,0.56755,1.35705,1.0277500000000002,1.32055,0.56725,1.32055
82,Bi,83.0,-7.2448664398293125e-19,-7.2448664398293125e-19,-7.2448664398293125e-19,-7.2448664398293125e-19,-2.222770121777009e-19,1.27014732176683e-18,-2.183574472955904e-19,1.2634492461603264e-18,0.99635,0.54705,1.3856500000000005,1.3855500000000005,0.99335,1.33845,0.54705,1.3383500000000002,0.98985,1.30035,0.54705,1.30035,0.98585,1.27025,0.54695,1.27025,0.98175,1.2467500000000002,0.5468500000000001,1.2468500000000002
83,Po,84.0,-8.980776743167486e-19,-8.980776743167486e-19,7.6936681548478095e-19,-8.980776743167486e-19,-3.559675160827106e-19,1.4798317383782717e-18,-3.5323828829425923e-19,1.474691427082944e-18,0.95175,0.52825,1.2735500000000002,1.2735500000000002,0.94915,1.24405,0.52825,1.24385,0.94595,1.2184500000000005,0.52825,1.2185500000000002,0.94235,1.1966500000000002,0.52815,1.1966500000000002,0.93815,1.1783500000000002,0.52805,1.1784500000000002
84,At,85.0,-1.068289714157299e-18,-1.068289714157299e-18,7.80804754380672e-19,-1.068289714157299e-18,-4.907374383698469e-19,1.6823912595852744e-18,-4.902388089622464e-19,1.6784947019551873e-18,0.91145,0.51105,1.1926500000000002,1.1926500000000002,0.90945,1.1700500000000005,0.51105,1.1699500000000005,0.90695,1.1505500000000002,0.51095,1.1505500000000002,0.90405,1.1340500000000002,0.51095,1.1340500000000002,0.90075,1.1202500000000002,0.51085,1.1203500000000002
85,Rn,86.0,-1.2371334951636865e-18,-1.2371334951636865e-18,2.7149363492442244e-19,2.7149363492442244e-19,2.924764929746795e-19,1.8834059140035522e-18,2.9392250543900164e-19,1.8813286599718466e-18,2.67115,,,2.67115,2.60655,,,2.60655,0.87185,1.09255,0.49515,1.09265,0.8702500000000001,1.08065,0.4950500000000001,1.08055,0.86865,1.07035,0.49495,1.07025
86,Fr,87.0,-3.356511955277376e-19,-3.356511955277376e-19,-3.356511955277376e-19,-3.356511955277376e-19,-5.635843715542544e-20,6.351483944353755e-19,-5.643667146768e-20,6.3007678442567055e-19,2.85895,,,2.85895,2.59525,,,2.59525,2.42565,,,2.42565,2.33335,,,2.33335,0.8361500000000001,1.0249500000000002,0.48035,1.0249500000000002
87,Ra,88.0,-5.24977202454432e-19,-5.24977202454432e-19,-1.859438120801856e-19,-1.859438120801856e-19,1.7371853163352138e-19,8.739179083641393e-19,2.0421343208716802e-19,8.732086888086914e-19,2.34435,,,2.34435,2.26505,,,2.26505,2.15585,,,2.15585,2.09275,,,2.09275,2.04845,,,2.04845
