,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
52,I,53.0,-1.1949065281458817e-18,-1.1130240875866558e-18,7.370060520978625e-19,-1.1130240875866558e-18,-5.268714558662714e-19,1.7357751116749722e-18,-5.2552034032888335e-19,1.7304885376533891e-18,0.90395,1.10895,0.41195,1.10885,0.90105,1.08655,0.41195,1.08655,0.8974500000000001,1.0675500000000002,0.41195,1.0676500000000002,0.8935500000000001,1.0517500000000002,0.41195,1.0518500000000002,0.88925,1.03865,0.41185,1.03865,0.90395,1.10895,0.41195,1.10885,0.90095,1.08655,0.41195,1.08655,0.8974500000000001,1.0675500000000002,0.41195,1.0676500000000002,0.8934500000000001,1.0517500000000002,0.41195,1.0518500000000002,0.88905,1.03865,0.41185,1.03865
53,Xe,54.0,-1.341694745790336e-18,-1.341694745790336e-18,2.1342114112690561e-19,2.1342114112690561e-19,2.8016972573992947e-19,2.0127339312746236e-18,2.733858055135872e-19,2.00860877508144e-18,2.70105,,,2.70105,2.64305,,,2.64305,0.85585,1.0075500000000002,0.39605,1.0076500000000002,0.85385,0.99845,0.39605,0.99845,0.85185,0.99095,0.39605,0.99095,2.68575,,,2.70105,2.63055,,,2.64305,0.85585,1.0075500000000002,0.39605,1.0076500000000002,0.85395,0.99845,0.39605,0.99845,0.8520500000000001,0.99095,0.39605,0.99095
54,Cs,55.0,-3.712050969199104e-19,-3.712050969199104e-19,-2.918108366527872e-19,-2.918108366527872e-19,-4.174107491013175e-20,6.550536284576345e-19,-4.1803992389913605e-20,6.61243926230093e-19,2.84415,,,2.84415,2.59135,,,2.59135,2.44505,,,2.44505,2.36935,,,2.36935,0.81365,0.93835,0.38155,0.93825,2.84415,,,2.84415,2.61745,,,2.59135,2.47265,,,2.44505,2.37885,,,2.36935,0.81365,0.93835,0.38155,0.93825
55,Ba,56.0,-5.312721543975552e-19,-5.312721543975552e-19,-3.221704814403264e-19,-3.221704814403264e-19,1.4407475529228472e-19,8.616244391406843e-19,1.49555176668576e-19,8.614310884691904e-19,2.54795,,,1.2817500000000002,2.29175,,,1.2817500000000002,2.14815,,,2.14815,2.08115,,,2.08115,2.03485,,,2.03485,2.66845,,,1.2817500000000002,2.33015,,,1.2817500000000002,2.14815,,,2.14815,2.08845,,,2.08115,2.04325,,,2.03485
56,La,57.0,-5.420035334036736e-19,-4.115206672291008e-19,7.531672076718719e-20,-4.115206672291008e-19,8.459926748008636e-20,9.303461843726242e-19,8.555462937409921e-20,9.348043689953474e-19,2.19045,,1.3098500000000002,1.3098500000000002,2.10645,,1.2549500000000002,1.2549500000000002,2.02375,,1.2122500000000005,1.2122500000000005,1.94695,,1.17725,0.39875,1.91015,,1.1664500000000002,1.91015,2.19045,,1.3098500000000002,1.3098500000000002,2.10645,,1.2549500000000002,1.2549500000000002,2.02385,,1.2122500000000005,1.2122500000000005,1.94725,,1.17725,0.39875,1.91015,,1.1664500000000002,1.91015
57,Ce,58.0,-5.54569404640608e-19,-4.278244165223616e-19,-3.6103768408431364e-19,-4.278244165223616e-19,5.619136220278323e-20,9.093590485142022e-19,6.09323790656448e-20,9.95015768581632e-19,2.09765,,1.30615,1.30625,2.04775,,1.24595,1.24605,1.99375,,1.1985500000000002,0.38105,1.93325,,1.1586500000000002,0.38115,1.90135,,1.15495,0.38205,2.13335,,1.30615,1.30625,2.07905,,1.24595,1.24605,2.01875,,0.38105,0.38105,1.95145,,0.38115,0.38115,1.92025,,0.38205,0.38205
58,Pr,59.0,-5.096283504271682e-19,-3.445064257108992e-19,-2.6691621631879683e-19,-3.445064257108992e-19,1.3646502518032545e-19,8.782251358470254e-19,1.3771989797072642e-19,9.077596276362433e-19,2.13205,,,0.36305,2.05575,,,0.36395,1.9801500000000003,,,0.36485,1.90915,,,0.36435,1.86385,,,0.36535,2.19945,,,0.36305,2.11065,,,0.36395,2.01835,,,0.36485,1.9419500000000005,,,0.36435,1.89115,,,0.36535
59,Nd,60.0,-5.1067937829041285e-19,-3.886528003204224e-19,-3.0747371529772804e-19,-3.886528003204224e-19,1.4004284579365805e-19,8.902699632381464e-19,1.904843806235328e-19,8.926623173384445e-19,2.06805,,,1.3636500000000005,2.01585,,,0.34985,1.9521500000000005,,,0.34985,1.90255,,,0.34985,1.85195,,,0.34995,2.12985,,,1.3636500000000005,2.06095,,,0.34985,1.99315,,,0.34985,1.94265,,,0.34985,1.8854500000000003,,,0.34995
60,Pm,61.0,-5.194176495802562e-19,-4.908059794860098e-19,-3.0039850334027523e-19,-4.908059794860098e-19,1.9754028634934224e-19,8.904254544752148e-19,2.154799380846336e-19,8.724059983216703e-19,2.18375,,,1.5208500000000005,2.09725,,,1.3980500000000002,1.91945,,,0.33595,1.8714500000000005,,,0.33655,1.81145,,,0.33655,2.10165,,,1.5208500000000005,2.02495,,,1.3980500000000002,1.97505,,,0.33595,1.9260500000000005,,,0.33655,1.8553500000000005,,,0.33655
61,Sm,62.0,-5.611495440222336e-19,-5.1428587786383365e-19,-2.7111712341853444e-19,-5.1428587786383365e-19,2.0779078806145481e-19,8.916042879611383e-19,2.4869786596368e-19,8.626695709970687e-19,2.08395,,,0.32435,2.00775,,,0.32485,1.89595,,,0.32385,1.85105,,,0.32445,1.7879500000000002,,,0.32435,2.17195,,,0.32435,2.08795,,,0.32485,1.96125,,,0.32385,1.91525,,,0.32445,1.8393500000000005,,,0.32435
