,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
80,Tl,81.0,-1.547205940940352e-18,-3.817794626171904e-19,-3.817794626171904e-19,-3.817794626171904e-19,5.673111948280724e-20,8.608992619602891e-19,6.201865481454719e-20,8.515825087811329e-19,1.11145,0.59095,1.7274500000000002,1.7274500000000002,1.1043500000000002,1.6263500000000002,0.59085,1.6263500000000002,1.0963500000000002,1.5377500000000002,0.59075,1.5377500000000002,1.0880500000000002,1.4644500000000005,0.59045,1.4644500000000005,1.0792500000000005,1.4045500000000002,0.5900500000000001,1.0792500000000005
81,Pb,82.0,-1.9517427202793862e-18,-5.728934986526976e-19,-5.728934986526976e-19,-5.728934986526976e-19,-9.65821547183089e-20,1.0897337907774356e-18,-9.21267578726208e-20,1.0822222420517761e-18,1.0475500000000002,0.56805,1.51985,1.51985,1.0430500000000005,1.45575,0.5679500000000001,1.45565,1.03805,1.4008500000000002,0.5678500000000001,1.4008500000000002,1.03255,1.35525,0.56765,1.35525,1.02675,1.31825,0.56745,1.31825
82,Bi,83.0,-7.5164674205873295e-19,-7.5164674205873295e-19,-7.5164674205873295e-19,-7.5164674205873295e-19,-2.4391596155622946e-19,1.3020908783846468e-18,-2.400332947983936e-19,1.2954447132777025e-18,0.99385,0.54735,1.38145,1.3815500000000005,0.99095,1.33505,0.54725,1.33515,0.98775,1.2972500000000002,0.54725,1.2971500000000002,0.98405,1.2667500000000005,0.54715,1.2667500000000005,0.98025,1.2426500000000005,0.54695,1.2426500000000005
83,Po,84.0,-9.236259827120257e-19,-9.236259827120257e-19,7.347966505377793e-19,-9.236259827120257e-19,-3.7767064862337024e-19,1.508790183597633e-18,-3.750198794540352e-19,1.5036363499143168e-18,0.94905,0.52845,1.2693500000000002,1.2693500000000002,0.94665,1.24015,0.52845,1.24025,0.94365,1.2149500000000002,0.52845,1.2148500000000002,0.94025,1.19325,0.52835,1.19335,0.93645,1.17505,0.52825,1.17505
84,At,85.0,-1.0927869946893312e-18,-1.0927869946893312e-18,7.465454116981055e-19,-1.0927869946893312e-18,-5.118149209973071e-19,1.709536201014565e-18,-5.1141317518273935e-19,1.7057044675062337e-18,0.90875,0.51135,1.18975,1.18985,0.90675,1.1668500000000002,0.51125,1.1668500000000002,0.90445,1.14715,0.51125,1.14715,0.90165,1.1303500000000002,0.51115,1.1303500000000002,0.8985500000000001,1.1161500000000002,0.51105,1.1161500000000002
85,Rn,86.0,-1.2615506668646785e-18,-1.2615506668646785e-18,2.3038498718793603e-19,2.3038498718793603e-19,2.626320440948473e-19,1.9092965113985213e-18,2.608631930454144e-19,1.9072743081690814e-18,2.62245,,,2.62245,2.56725,,,2.56725,0.86905,1.0895500000000002,0.49545,1.0895500000000002,0.86765,1.07715,0.49535,1.07715,0.86605,1.06675,0.49525,1.06675
86,Fr,87.0,-3.630788570992129e-19,-3.630788570992129e-19,-3.630788570992129e-19,-3.630788570992129e-19,-7.167024686427219e-20,6.70910963275589e-19,-7.109658754799999e-20,6.70735220531712e-19,2.74815,,,2.74815,2.52325,,,2.52325,2.38835,,,2.38835,2.30775,,,2.30775,0.83365,1.02215,0.48065,1.02225
87,Ra,88.0,-5.434086423001152e-19,-5.434086423001152e-19,-2.0338030024435201e-19,-2.0338030024435201e-19,1.6918498055015082e-19,9.010292041185157e-19,2.0566179975237122e-19,8.997807880646593e-19,2.29245,,,2.65305,2.23345,,,1.50395,2.12835,,,2.12835,2.07085,,,2.07085,2.02955,,,2.02955
88,Ac,89.0,-6.418607934716543e-19,-3.674576058038592e-19,-3.674576058038592e-19,-3.674576058038592e-19,5.925063837186466e-20,8.473496702881771e-19,6.624359456359681e-20,8.348077195613568e-19,2.14695,1.5579500000000002,,1.5579500000000002,2.05035,,1.4750500000000002,1.4750500000000002,1.97135,,1.41115,1.41115,1.90945,,1.3615500000000005,1.3615500000000005,1.8611500000000003,,1.3234500000000002,1.8611500000000003
89,Th,90.0,-6.706230681682561e-19,-4.2564866067131534e-19,-4.2564866067131534e-19,-4.2564866067131534e-19,4.395464215610221e-20,9.188039437478292e-19,4.901378718351361e-20,9.11990976091776e-19,1.9963500000000003,1.38475,,1.3845500000000002,1.93675,,1.34905,1.34915,1.88195,,1.3181500000000002,1.3181500000000002,1.8329500000000003,,1.2908500000000005,1.2908500000000005,1.79025,,1.2669500000000002,0.61755
