,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
59,Nd,60.0,-4.8643844601770885e-19,-3.6025742406998403e-19,-2.820808180346688e-19,-3.6025742406998403e-19,5.807576224769302e-20,8.459891820340087e-19,1.976092600562304e-19,8.52239401195661e-19,2.11825,,,1.50605,2.04975,,,0.34965,1.98885,,,0.34975,1.93945,,,0.34985,1.88085,,,0.35005,2.10085,,,1.50605,2.09415,,,0.34965,2.03255,,,0.34975,1.97595,,,0.34985,1.88235,,,0.35005
60,Pm,61.0,-4.951398672452738e-19,-4.635064920441984e-19,-2.740587196943232e-19,-4.635064920441984e-19,2.0675081521738983e-19,8.531925040143367e-19,2.210667279613632e-19,8.296999804942463e-19,2.14035,,,0.33625,2.06465,,,0.33675,1.95495,,,0.33615,1.9036500000000005,,,0.33675,1.83165,,,0.33675,2.21585,,,0.33625,2.13905,,,0.33675,2.01905,,,0.33615,1.95365,,,0.33675,1.83855,,,0.33675
61,Sm,62.0,-5.365753590124032e-19,-4.891589419198272e-19,-2.4413486694764163e-19,-4.891589419198272e-19,2.210843358868304e-19,8.469611424778237e-19,2.702743785159936e-19,8.189477731920578e-19,2.12265,,,0.32445,2.05065,,,0.32505,1.93155,,,0.32405,1.8833500000000003,,,0.32475,1.8067500000000003,,,0.32455,2.20345,,,0.32445,2.13305,,,0.32505,2.00545,,,0.32405,1.9422500000000005,,,0.32475,1.8232500000000005,,,0.32455
62,Eu,63.0,-5.084667723770879e-19,-5.084667723770879e-19,-2.4792401465583363e-19,-2.4792401465583363e-19,2.401066104123649e-19,8.776753809982725e-19,2.2080397099555203e-19,8.76534807473472e-19,2.12235,,,0.31295,2.00415,,,0.31295,1.8976500000000005,,,0.31275,1.83185,,,0.31275,1.7737500000000002,,,0.31265,2.24205,,,0.31295,2.12135,,,0.31295,1.9683500000000005,,,0.31275,1.88205,,,0.31275,1.77845,,,0.31265
63,Gd,64.0,-5.37555891104333e-19,-3.1289548098251523e-19,-1.7711261454633605e-19,-3.1289548098251523e-19,1.5502733079652882e-19,9.000443300974128e-19,2.030742845097792e-19,1.0488777422196865e-18,1.89245,,1.1703500000000002,0.30015,1.87115,,1.1259500000000002,0.29325,1.8152500000000005,,1.0636500000000002,0.30105,1.75795,,1.0148500000000005,0.30095,1.7410500000000002,,1.0128500000000005,0.30175,1.9359500000000005,,1.1703500000000002,0.30015,1.8672500000000003,,1.1259500000000002,0.29325,1.86675,,1.0636500000000002,0.30105,1.80925,,1.0148500000000005,0.30095,1.78435,,1.0128500000000005,0.30175
64,Tb,65.0,-5.47207403068032e-19,-2.3776301052672e-19,-1.4993168817446402e-19,-2.3776301052672e-19,1.8980523396958191e-19,8.416214883374941e-19,2.199916674488064e-19,1.0066347534356736e-18,2.00585,,,0.29235,1.91335,,,0.29255,1.83675,,,0.29295,1.7566500000000005,,,0.29245,1.7272500000000002,,,0.29315,2.10795,,,0.29235,1.98335,,,0.29255,1.87615,,,0.29295,1.7808500000000005,,,0.29245,1.7415500000000002,,,0.29315
65,Dy,66.0,-5.48739083917517e-19,-1.8845762719822081e-19,-1.6218513497034245e-19,-1.8845762719822081e-19,2.6912808521415685e-19,9.43786427471892e-19,2.751882542119872e-19,9.937115968123009e-19,2.00705,,,0.28435,1.91345,,,0.28455,1.83155,,,0.28475,1.7710500000000002,,,0.28585,1.70945,,,0.28445,2.08655,,,0.28435,1.96495,,,0.28455,1.85815,,,0.28475,1.7524500000000005,,,0.28585,1.72345,,,0.28445
66,Ho,67.0,-5.604558015454271e-19,-2.6911920917239683e-19,-1.3440018801242882e-19,-2.6911920917239683e-19,1.635664996227425e-19,7.817205905772366e-19,3.0528193768047363e-19,9.96978434942112e-19,1.99085,,,0.27625,1.91335,,,0.27715,1.80745,,,0.27685,1.7212500000000002,,,0.27655,1.68145,,,0.27695,2.04155,,,0.27625,1.9462500000000005,,,0.27715,1.82825,,,0.27685,1.73615,,,0.27655,1.6745500000000002,,,0.27695
67,Er,68.0,-5.727573136399296e-19,-3.4091594790368643e-19,-1.08723705487488e-19,-3.4091594790368643e-19,4.149656353582704e-19,9.657018003822177e-19,3.4945715146917124e-19,1.0564127788673086e-18,2.01515,,,0.26975,1.93065,,,0.26995,1.7878500000000002,,,0.26945,1.7186500000000002,,,0.26925,1.6721500000000002,,,0.26965,2.01955,,,0.26975,1.93065,,,0.26995,1.7976500000000002,,,0.26945,1.7262500000000005,,,0.26925,1.6805500000000002,,,0.26965
68,Tm,69.0,-5.2298729909139855e-19,-4.019076075043008e-19,-8.319141885841921e-20,-4.019076075043008e-19,3.8689171982855523e-19,9.642961467552017e-19,4.0168650713063043e-19,1.0121141974788097e-18,2.01825,,,0.26265,1.90705,,,0.26275,1.76585,,,0.26245,1.70365,,,1.70365,1.6541500000000002,,,0.26255,2.01825,,,0.26265,1.90865,,,0.26275,1.77015,,,0.26245,1.70745,,,1.70365,1.66355,,,0.26255
