,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
56,La,57.0,-6.256547769522624e-19,-3.2250052982421124e-19,-1.8253918676098565e-19,-3.2250052982421124e-19,1.6789276100029609e-19,8.601245775166236e-19,1.745154862440192e-19,8.488540019959104e-19,2.21515,,1.31295,1.31295,2.12795,,1.24605,1.24605,2.03645,,1.19605,1.19605,1.94835,,1.15755,1.15755,1.87105,,1.1278500000000002,1.87105,2.21505,,1.31295,1.31295,2.12775,,1.24605,1.24605,2.03635,,1.19605,1.19605,1.9482500000000005,,1.15755,1.15755,1.87105,,1.1278500000000002,1.87105
57,Ce,58.0,-6.302321955578881e-19,-3.642164024999808e-19,-2.355071458446336e-19,-3.642164024999808e-19,-5.383038672558063e-19,9.062633228376684e-19,6.669861272390401e-20,8.043503419999487e-19,2.10085,,1.22605,1.22605,2.05125,,1.20175,1.20165,2.00765,,1.17725,0.37965,1.8954500000000003,,1.12505,1.8954500000000003,1.90545,,1.13155,0.38155,2.15335,,2.10085,1.22605,2.08535,,1.20175,1.20165,2.03375,,0.37965,0.37965,0.70745,,1.8954500000000003,1.8954500000000003,1.93335,,0.38155,0.38155
58,Pr,59.0,-5.70440566246253e-19,-2.177934811250688e-19,-9.518531304172801e-20,-2.177934811250688e-19,-6.699516440122361e-19,8.436686695209626e-19,2.272623449539968e-19,9.527663710911361e-19,2.21315,,,0.38355,2.10545,,,0.36475,2.03535,,,0.36605,1.9298500000000005,,,0.36385,1.89685,,,0.36655,2.24795,,,0.38355,2.15915,,,0.36475,2.07635,,,0.36605,1.96775,,,0.36385,1.91835,,,0.36655
59,Nd,60.0,-5.717191031896511e-19,-3.967918575540864e-19,-1.403971351040832e-19,-3.967918575540864e-19,-7.141174690415619e-19,-8.166388764014461e-20,3.5828514464977923e-19,8.416249810828607e-19,2.11405,,,0.36275,2.08535,,,0.35165,2.00555,,,0.35015,1.96285,,,0.34875,1.90075,,,0.34865,2.18635,,,0.36275,2.12505,,,0.35165,2.04545,,,0.35015,2.01015,,,0.34875,1.93445,,,0.34865
60,Pm,61.0,-5.810966429511935e-19,-5.810966429511935e-19,-1.2893676573550081e-19,-1.2893676573550081e-19,2.0341681386462037e-19,9.226941407714508e-19,3.994626859809601e-19,6.361554425249856e-19,2.18375,,,0.34095,2.14425,,,0.33895,1.98325,,,0.33575,1.97695,,,0.33855,1.83665,,,0.33475,2.20175,,,0.34095,2.20885,,,0.33895,2.04225,,,0.33575,2.06305,,,0.33855,1.87805,,,0.33475
61,Sm,62.0,-5.88631679598816e-19,-5.88631679598816e-19,-1.1646862727243522e-19,-1.1646862727243522e-19,2.1660766214173198e-19,8.743801843255868e-19,2.169154883368704e-19,7.696968638686655e-19,2.22215,,,1.74775,2.11665,,,0.32585,1.95135,,,0.32345,1.9784500000000005,,,0.32575,1.8070500000000005,,,0.32335,2.13215,,,1.74775,2.18845,,,0.32585,2.01915,,,0.32345,2.03615,,,0.32575,1.8573500000000005,,,0.32335
62,Eu,63.0,-5.955803196032256e-19,-5.955803196032256e-19,-9.79618851255744e-20,-9.79618851255744e-20,1.1352737226084989e-18,8.629372626708436e-19,3.600122910470016e-19,8.639433014106049e-19,2.17575,,,0.32845,2.03115,,,0.31235,1.9218500000000005,,,0.31225,1.85025,,,0.31225,1.7874500000000002,,,0.31215,2.25055,,,0.32845,2.12795,,,0.31235,1.9902500000000003,,,0.31225,1.9216500000000003,,,0.31225,1.82645,,,0.31215
63,Gd,64.0,-6.587060784627458e-19,-3.4259663117890564e-19,-9.233504083332481e-20,-3.4259663117890564e-19,1.848095191070955e-19,9.161844330660986e-19,1.90466756680704e-19,9.062696033788993e-19,1.88395,,1.1467500000000002,0.29895,1.84085,,1.08255,0.29895,1.79045,,1.03455,0.29885,1.73195,,0.99815,0.29875,1.6680500000000005,,0.97035,0.29855,1.93955,,0.29895,0.29895,1.89935,,0.29895,0.29895,1.85025,,0.29885,0.29885,1.7907500000000005,,0.99815,0.29875,1.72145,,0.97035,0.29855
64,Tb,65.0,-6.709835579079362e-19,-2.427650059368576e-19,-7.7609435511552e-20,-2.427650059368576e-19,-5.586663625454016e-19,1.7481829761615805e-19,6.30873066206208e-20,8.14363945879949e-19,1.9722500000000005,,,0.29045,1.87075,,,0.28965,1.80435,,,0.29115,1.7471500000000002,,,0.29135,1.74605,,,0.29265,2.09075,,,0.29045,1.9422500000000005,,,0.28965,1.84635,,,0.29115,0.29135,,,0.29135,1.7727500000000005,,,0.29265
65,Dy,66.0,-6.497419002693696e-19,-6.852669624823679e-20,8.147068116768e-21,-6.852669624823679e-20,-7.644163781293819e-19,9.04605021965471e-19,3.02514978656352e-19,1.0930689777745921e-18,1.9382500000000005,,,0.28265,1.97165,,,1.97165,1.83605,,,0.28395,1.7284500000000005,,,0.28315,1.70775,,,0.28365,2.06735,,,0.28265,1.99775,,,1.97165,1.86075,,,0.28395,1.74185,,,0.28315,1.73575,,,0.28365
